V1,V2,V3,start,duration,V6,V7,tier,V9,V10,end,id,source
SPEAKER,MPILab_0001_258640_01_S_Audio,1,62.669,0.974,<NA>,<NA>,FEM,<NA>,<NA>,63.642999999999994,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,63.791,9.442,<NA>,<NA>,SPEECH,<NA>,<NA>,73.233,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,63.816,1.195,<NA>,<NA>,FEM,<NA>,<NA>,65.011,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,65.262,0.137,<NA>,<NA>,KCHI,<NA>,<NA>,65.399,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,65.867,2.022,<NA>,<NA>,FEM,<NA>,<NA>,67.88900000000001,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,67.917,0.923,<NA>,<NA>,CHI,<NA>,<NA>,68.84,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,67.993,0.418,<NA>,<NA>,KCHI,<NA>,<NA>,68.411,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,69,4.053,<NA>,<NA>,FEM,<NA>,<NA>,73.053,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,72.05,1.12,<NA>,<NA>,MAL,<NA>,<NA>,73.17,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,74.744,1.969,<NA>,<NA>,FEM,<NA>,<NA>,76.713,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,74.748,2.06,<NA>,<NA>,SPEECH,<NA>,<NA>,76.808,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,76.548,0.145,<NA>,<NA>,CHI,<NA>,<NA>,76.693,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,77.011,4.543,<NA>,<NA>,SPEECH,<NA>,<NA>,81.554,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,77.077,2.147,<NA>,<NA>,FEM,<NA>,<NA>,79.224,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,79.156,0.717,<NA>,<NA>,KCHI,<NA>,<NA>,79.873,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,80.102,1.45,<NA>,<NA>,FEM,<NA>,<NA>,81.552,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,85.992,3.496,<NA>,<NA>,SPEECH,<NA>,<NA>,89.488,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,86.263,0.257,<NA>,<NA>,KCHI,<NA>,<NA>,86.52000000000001,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,86.511,0.481,<NA>,<NA>,FEM,<NA>,<NA>,86.99199999999999,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,87.121,0.449,<NA>,<NA>,KCHI,<NA>,<NA>,87.57,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,87.274,2.217,<NA>,<NA>,FEM,<NA>,<NA>,89.491,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,87.573,0.655,<NA>,<NA>,CHI,<NA>,<NA>,88.228,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,89.713,10.623,<NA>,<NA>,SPEECH,<NA>,<NA>,100.336,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,89.726,1.532,<NA>,<NA>,KCHI,<NA>,<NA>,91.258,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,90.011,0.272,<NA>,<NA>,CHI,<NA>,<NA>,90.283,258640,Audio
SPEAKER,MPILab_0001_258640_01_S_Audio,1,90.492,0.808,<NA>,<NA>,CHI,<NA>,<NA>,91.30000000000001,258640,Audio
